date,price,open,high,low,volume,change_percent
"May 17, 2017",0.680,0.690,0.690,0.675,1.83M,0.00%
"May 16, 2017",0.680,0.685,0.690,0.675,2.45M,0.00%
"May 15, 2017",0.680,0.685,0.690,0.675,2.34M,-0.73%
"May 12, 2017",0.685,0.670,0.690,0.670,4.50M,2.24%
"May 11, 2017",0.670,0.685,0.690,0.665,2.88M,-2.19%
"May 09, 2017",0.685,0.680,0.705,0.675,11.50M,0.74%
"May 08, 2017",0.680,0.665,0.705,0.655,26.58M,3.03%
"May 05, 2017",0.660,0.640,0.665,0.630,14.73M,4.76%
"May 04, 2017",0.630,0.625,0.650,0.620,8.83M,0.80%
"May 03, 2017",0.625,0.620,0.640,0.620,5.50M,0.00%
"May 02, 2017",0.625,0.625,0.625,0.615,1.74M,0.00%
"Apr 28, 2017",0.625,0.620,0.625,0.615,932.90K,0.00%
"Apr 27, 2017",0.625,0.635,0.635,0.620,1.76M,-1.57%
"Apr 26, 2017",0.635,0.625,0.640,0.625,3.99M,1.60%
"Apr 25, 2017",0.625,0.600,0.625,0.595,4.57M,4.17%
"Apr 21, 2017",0.600,0.600,0.605,0.600,1.20M,0.00%
"Apr 20, 2017",0.600,0.595,0.605,0.595,555.60K,0.00%
"Apr 19, 2017",0.600,0.600,0.605,0.595,589.20K,0.00%
"Apr 18, 2017",0.600,0.605,0.615,0.600,3.86M,0.00%
"Apr 17, 2017",0.600,0.605,0.610,0.600,2.14M,-0.83%
"Apr 14, 2017",0.605,0.610,0.610,0.600,1.19M,-0.82%
"Apr 13, 2017",0.610,0.615,0.615,0.610,782.20K,-0.81%
"Apr 12, 2017",0.615,0.615,0.620,0.610,946.30K,0.00%
"Apr 11, 2017",0.615,0.620,0.620,0.610,1.19M,-0.81%
"Apr 10, 2017",0.620,0.615,0.625,0.610,1.63M,0.81%
"Apr 07, 2017",0.615,0.630,0.630,0.610,2.15M,-2.38%
"Apr 06, 2017",0.630,0.630,0.630,0.625,2.64M,0.80%
"Apr 05, 2017",0.625,0.625,0.635,0.620,3.56M,0.81%
"Apr 04, 2017",0.620,0.625,0.630,0.615,3.14M,0.00%
"Apr 03, 2017",0.620,0.595,0.625,0.590,8.83M,4.20%
"Mar 31, 2017",0.595,0.590,0.600,0.590,1.76M,1.71%
"Mar 30, 2017",0.585,0.600,0.605,0.585,7.83M,-2.50%
"Mar 29, 2017",0.600,0.595,0.610,0.595,3.70M,0.84%
"Mar 28, 2017",0.595,0.610,0.615,0.595,8.03M,-2.46%
"Mar 27, 2017",0.610,0.630,0.630,0.605,2.97M,-2.40%
"Mar 24, 2017",0.625,0.635,0.635,0.625,2.88M,-1.57%
"Mar 23, 2017",0.635,0.640,0.655,0.635,8.04M,0.00%
"Mar 22, 2017",0.635,0.630,0.635,0.620,2.76M,0.79%
"Mar 21, 2017",0.630,0.630,0.640,0.630,3.35M,0.00%
"Mar 20, 2017",0.630,0.650,0.655,0.630,5.83M,-2.33%
