date,price,open,high,low,volume,change_percent
"Mar 06, 2017",0.064,0.059,0.064,0.059,32.57M,8.47%
"Mar 03, 2017",0.059,0.051,0.059,0.051,34.10M,15.69%
"Mar 02, 2017",0.051,0.054,0.054,0.051,1.86M,-5.56%
"Mar 01, 2017",0.054,0.054,0.054,0.051,2.11M,5.88%
"Feb 28, 2017",0.051,0.054,0.054,0.051,10.70M,0.00%
"Feb 27, 2017",0.051,0.054,0.054,0.051,5.51M,-5.56%
"Feb 24, 2017",0.054,0.054,0.054,0.054,4.97M,0.00%
"Feb 23, 2017",0.054,0.054,0.056,0.051,3.07M,0.00%
"Feb 22, 2017",0.054,0.054,0.054,0.054,1.78M,0.00%
"Feb 21, 2017",0.054,0.054,0.054,0.054,9.57M,0.00%
"Feb 20, 2017",0.054,0.054,0.056,0.051,10.07M,5.88%
"Feb 17, 2017",0.051,0.054,0.054,0.051,920.00K,0.00%
"Feb 16, 2017",0.051,0.051,0.054,0.051,256.00K,0.00%
"Feb 15, 2017",0.051,0.054,0.054,0.051,3.24M,-5.56%
"Feb 14, 2017",0.054,0.054,0.054,0.054,7.41M,0.00%
"Feb 13, 2017",0.054,0.054,0.054,0.051,12.49M,0.00%
"Feb 10, 2017",0.054,0.054,0.054,0.051,2.18M,0.00%
"Feb 08, 2017",0.054,0.051,0.054,0.051,1.64M,0.00%
"Feb 07, 2017",0.054,0.051,0.054,0.051,1.72M,0.00%
"Feb 06, 2017",0.054,0.051,0.054,0.051,940.70K,5.88%
"Feb 03, 2017",0.051,0.051,0.051,0.051,7.30M,-5.56%
"Feb 02, 2017",0.054,0.054,0.054,0.051,1.73M,0.00%
"Jan 31, 2017",0.054,0.054,0.054,0.051,1.08M,0.00%
"Jan 27, 2017",0.054,0.051,0.054,0.051,309.20K,0.00%
"Jan 26, 2017",0.054,0.054,0.054,0.051,1.62M,0.00%
"Jan 25, 2017",0.054,0.051,0.054,0.051,716.70K,0.00%
"Jan 24, 2017",0.054,0.051,0.054,0.051,761.90K,5.88%
"Jan 23, 2017",0.051,0.054,0.054,0.051,1.25M,-5.56%
"Jan 20, 2017",0.054,0.051,0.054,0.051,982.90K,0.00%
"Jan 19, 2017",0.054,0.051,0.054,0.051,2.56M,0.00%
"Jan 18, 2017",0.054,0.054,0.054,0.051,1.73M,0.00%
"Jan 17, 2017",0.054,0.051,0.054,0.051,534.80K,0.00%
"Jan 16, 2017",0.054,0.054,0.054,0.054,10.49M,0.00%
"Jan 13, 2017",0.054,0.054,0.056,0.054,8.48M,0.00%
"Jan 12, 2017",0.054,0.054,0.056,0.054,8.35M,0.00%
"Jan 11, 2017",0.054,0.054,0.054,0.051,1.63M,0.00%
"Jan 10, 2017",0.054,0.054,0.056,0.054,4.71M,0.00%
"Jan 09, 2017",0.054,0.056,0.056,0.054,2.63M,-3.57%
"Jan 06, 2017",0.056,0.056,0.056,0.054,9.29M,0.00%
"Jan 05, 2017",0.056,0.054,0.056,0.054,2.30M,0.00%
"Jan 04, 2017",0.056,0.054,0.056,0.054,2.51M,0.00%
"Jan 03, 2017",0.056,0.054,0.056,0.051,7.37M,3.70%
"Dec 30, 2016",0.054,0.051,0.054,0.051,5.96M,0.00%
"Dec 29, 2016",0.054,0.051,0.054,0.051,1.31M,0.00%
"Dec 28, 2016",0.054,0.051,0.054,0.051,409.70K,0.00%
"Dec 27, 2016",0.054,0.051,0.054,0.051,528.70K,0.00%
"Dec 23, 2016",0.054,0.054,0.054,0.051,2.94M,0.00%
"Dec 22, 2016",0.054,0.054,0.054,0.051,1.76M,-3.57%
"Dec 21, 2016",0.056,0.054,0.056,0.054,5.40M,0.00%
"Dec 20, 2016",0.056,0.054,0.056,0.054,5.26M,0.00%
"Dec 19, 2016",0.056,0.056,0.056,0.054,1.73M,0.00%
"Dec 16, 2016",0.056,0.054,0.056,0.054,948.70K,0.00%
