name,link,last,high,low,change,change_percent,volume
Fintec Global,https://www.investing.com/equities/asia-bioenergy-technologies-bhd,0.055,0.060,0.055,-0.005,-8.33%,1.10M
Asdion,https://www.investing.com/equities/asdion,0.210,0.230,0.205,-0.010,-4.55%,1.10M
Felda Global Ventures,https://www.investing.com/equities/felda-global-ventures-holdings-bhd,1.510,1.520,1.500,0.000,0.00%,1.09M
K N Kenanga,https://www.investing.com/equities/k-n-kenanga-holdings-bhd,0.720,0.725,0.695,0.000,0.00%,1.09M
Weida M Bhd,https://www.investing.com/equities/weida-m-bhd,2.300,2.310,2.240,+0.140,+6.48%,1.08M
Mi Equipment,https://www.investing.com/equities/mi-equipment,2.720,2.770,2.670,-0.010,-0.37%,1.08M
Bursa Malaysia,https://www.investing.com/equities/bursa-malaysia-bhd,7.70,7.72,7.67,0.00,0.00%,1.07M
RGB International Bhd,https://www.investing.com/equities/rgb-international-bhd,0.265,0.270,0.265,0.000,0.00%,1.06M
Watta Holding Bhd,https://www.investing.com/equities/watta-holding-bhd,0.620,0.620,0.590,0.000,0.00%,1.04M
Taliworks Corporation Bhd,https://www.investing.com/equities/taliworks-corporation-bhd,1.420,1.430,1.360,+0.010,+0.71%,1.04M
SKH Consortium Bhd,https://www.investing.com/equities/skh-consortium-bhd,0.070,0.070,0.070,0.000,0.00%,1.04M
UOA Development,https://www.investing.com/equities/uoa-development-bhd,2.360,2.370,2.360,+0.010,+0.43%,1.03M
PBA Holdings Bhd,https://www.investing.com/equities/pba-holdings-bhd,1.280,1.300,1.260,0.000,0.00%,1.03M
Iskandar Waterfront City,https://www.investing.com/equities/iskandar-waterfront-city-bhd,0.605,0.620,0.600,0.000,0.00%,1.02M
Malayan Flour Mills,https://www.investing.com/equities/malayan-flour-mills-bhd,1.080,1.120,1.050,-0.030,-2.70%,1.01M
CJ Century Logistics,https://www.investing.com/equities/century-logistics-holdings-bhd,0.615,0.625,0.605,-0.010,-1.60%,1.00M
CCM Duopharma Biotech,https://www.investing.com/equities/ccm-duopharma-biotech-bhd,1.210,1.240,1.210,-0.030,-2.42%,998.90K
Imaspro Corp,https://www.investing.com/equities/imaspro-corporation-bhd,2.170,2.170,2.170,-0.030,-1.36%,986.00K
Salcon Bhd,https://www.investing.com/equities/salcon-bhd,0.250,0.255,0.250,-0.005,-1.96%,970.00K
Toyo Ink Group Bhd,https://www.investing.com/equities/toyo-ink-group-bhd,0.725,0.740,0.655,+0.035,+5.07%,959.00K
XiDeLang,https://www.investing.com/equities/xidelang-holdings-ltd,0.155,0.155,0.150,0.000,0.00%,935.30K
