symbol,name,code
HEKTAR,HEKTAR REAL ESTATE INVESTMENT TRUST,5121
HENGYUAN,HENGYUAN REFINING CO BHD,4324
HEVEA,HEVEABOARD BHD,5095
HEXZA,HEXZA CORP BHD,3298
HHGROUP,HENG HUAT RESOURCES GROUP BHD,0175
HHHCORP,HIAP HUAT HOLDINGS BHD,0160
HIAPTEK,HIAP TECK VENTURE BHD,5072
HIBISCS,HIBISCUS PETROLEUM BHD,5199
HIGHTEC,KUMPULAN H & L HIGH-TECH BHD,7033
HIL,HIL INDUSTRIES BHD,8443
HLBANK,HONG LEONG BANK BHD,5819
HLCAP,HONG LEONG CAPITAL BERHAD,5274
HLFG,HONG LEONG FINANCIAL GROUP BHD,1082
HLIND,HONG LEONG INDUSTRIES BHD,3301
HLT,HLT GLOBAL BHD,0188
HOHUP,HO HUP CONSTRUCTION COMPANY,5169
HOKHENG,HOCK HENG STONE INDUSTRIES BHD,5165
HOMERIZ,HOMERITZ CORP BHD,5160
HOOVER,GRAND HOOVER BHD,7010
HOVID,HOVID BHD,7213
HSL,HOCK SENG LEE BHD,6238
HSPLANT,HAP SENG PLANTATIONS HOLDINGS BHD,5138
HSSEB,HSS ENGINEERS BHD,0185
HTPADU,HEITECH PADU BHD,5028
HUAAN,SINO HUA-AN INTERNATIONAL BHD,2739
HUAYANG,HUA YANG BHD,5062
HUBLINE,HUBLINE BHD,7013
HUMEIND,HUME INDUSTRIES BHD,5000
HUPSENG,HUP SENG INDUSTRIES BHD,5024
HWATAI,HWA TAI INDUSTRIES BHD,8478
HWGB,HO WAH GENTING BHD,9601
IBHD,I-BERHAD,4251
IBRACO,IBRACO BHD,5084
ICAP,ICAPITAL.BIZ BERHAD UNIT,5108
ICON,ICON OFFSHORE BHD,5255
IDEAL,IDEAL UNITED BINTANG INTERNATIONAL BHD,9687
IDMENSN,IDIMENSION CONSOLIDATED BHD,0174
IFCAMSC,IFCA MSC BHD,0023
IGBB,IGB BHD,5606
IGBREIT,IGB REAL ESTATE INVESTMENT TRUST,5227
IHH,IHH HEALTHCARE BHD,5225
IJACOBS,IDEAL JACOBS (MALAYSIA) CORP BHD,0162
IJM,IJM CORP BHD,3336
IJMPLNT,IJM PLANTATIONS BHD,2216
IKHMAS,IKHMAS JAYA GROUP BHD,5268
ILB,INTEGRATED LOGISTICS BHD,5614
IMASPRO,IMASPRO CORP BHD,7222
INARI,INARI AMERTRON BHD,0166
INCKEN,INCH KENNETH KAJANG RUBBER PLC,2607
INIX,INIX TECHNOLOGIES HOLDINGS BHD,0094
INNITY,INNITY CORP BHD,0147
INNO,INNOPRISE PLANTATIONS BHD,6262
INSAS,INSAS BHD,3379
INTA,INTA BINA GROUP BHD,0192
IOICORP,IOI CORP BHD,1961
IOIPG,IOI PROPERTIES GROUP BHD,5249
IPMUDA,IPMUDA BHD,5673
IQGROUP,IQ GROUP HOLDINGS BHD,5107
IREKA,IREKA CORP BHD,8834
IRETEX,IRE-TEX CORP BHD,7183
IRIS,IRIS CORP BHD,0010
ITRONIC,INDUSTRONICS BHD,9393
IVORY,IVORY PROPERTIES GROUP BERHAD,5175
IWCITY,ISKANDAR WATERFRONT CITY BHD,1589
JADI,JADI IMAGING HOLDINGS BHD,7223
JAG,JAG BHD,0024
JAKS,JAKS RESOURCES BHD,4723
JASKITA,JASA KITA BHD,8648
JAYCORP,JAYCORP BHD,7152
JCBNEXT,JCBNEXT BHD,0058
JCY,JCY INTERNATIONAL BHD,5161
JERASIA,JERASIA CAPITAL BHD,8931
JETSON,KUMPULAN JETSON BHD,9083
JFTECH,JF TECHNOLOGY BHD,0146
JHM,JHM CONSOLIDATION BHD,0127
JIANKUN,JIANKUN INTERNATIONAL BHD,8923
JKGLAND,JKG LAND BHD,6769
JMR,JMR CONGLOMERATION BHD,7043
JOHAN,JOHAN HOLDINGS BHD,3441
JOHOTIN,JOHORE TIN BHD,7167
JTIASA,JAYA TIASA HOLDINGS BHD,4383
K1,K-ONE TECHNOLOGY BHD,0111
KAB,KEJURUTERAAN ASASTERA BERHAD,0193
KAMDAR,KAMDAR GROUP (M) BHD,8672
KANGER,KANGER INTERNATIONAL BHD,0170
KAREX,KAREX BHD,5247
KARYON,KARYON INDUSTRIES BHD,0054
KAWAN,KAWAN FOOD BHD,7216
KBUNAI,KARAMBUNAI CORP BHD,3115
KEINHIN,KEIN HING INTERNATIONAL BHD,7199
KEN,KEN HOLDINGS BHD,7323
KENANGA,KENANGA INVESTMENT BANK BHD,6483
KERJAYA,KERJAYA PROSPEK GROUP BHD,7161
KESM,KESM INDUSTRIES BHD,9334
KEYASIC,KEY ASIC BHD,0143
KFIMA,KUMPULAN FIMA BHD,6491
KFM,KUANTAN FLOUR MILLS BHD,8303
KGB,KELINGTON GROUP BHD,0151
KGROUP,KEY ALLIANCE GROUP BHD,0036
KHEESAN,KHEE SAN BHD,6203
KHIND,KHIND HOLDINGS BHD,7062
KIALIM,KIA LIM BHD,6211
KIANJOO,KIAN JOO CAN FACTORY BHD,3522
KIMHIN,KIM HIN INDUSTRY BHD,5371
KIMLUN,KIMLUN CORP BHD,5171
KINSTEL,KINSTEEL BHD,5060
KIPREIT,KIP REAL ESTATE INVESTMENT TRUST,5280
KKB,KKB ENGINEERING BHD,9466
KLCC,KLCC PROPERTY HOLDINGS BERHAD,5235ss
KLK,KUALA LUMPUR KEPONG BHD,2445
KLUANG,KLUANG RUBBER CO MALAYA BHD,2453
KMLOONG,KIM LOONG RESOURCES BHD,5027
KNM,KNM GROUP BHD,7164
KNUSFOR,KNUSFORD BHD,5035
KOBAY,KOBAY TECHNOLOGY BHD,6971
KOMARK,KOMARKCORP BHD,7017
KOSSAN,KOSSAN RUBBER INDUSTRIES BHD,7153
KOTRA,KOTRA INDUSTRIES BHD,0002
KPJ,KPJ HEALTHCARE BHD,5878
KPOWER,KUMPULAN POWERNET BHD,7130
KPS,KUMPULAN PERANGSANG SELANGOR,5843
