code,name,url
5185,AFFIN Holdings Bhd (AFIN),https://www.investing.com/equities/affin-holdings-bhd-dividends
1147,Global Oriental Bhd (GLOL),https://www.investing.com/equities/global-oriental-bhd-dividends
2488,Alliance Financial Group Bhd (ALLI),https://www.investing.com/equities/malaysian-plantations-bhd-dividends
3883,Muda Holdings Bhd (MUDA),https://www.investing.com/equities/muda-holdings-bhd-dividends
7215,Ni Hsin Resources Bhd (NHSN),https://www.investing.com/equities/ni-hsin-resources-bhd-dividends
7082,SYF Resources Bhd (SYFR),https://www.investing.com/equities/syf-resources-bhd-dividends
5123,MRCB-Quill REIT Unit (MQRE),https://www.investing.com/equities/mrcb-quill-unit-dividends
6084,Star Media Group Bhd (STAR),https://www.investing.com/equities/star-media-group-bhd-dividends
5158,TA Global Bhd (TAGL),https://www.investing.com/equities/ta-global-bhd-dividends
97,ViTrox Corporation Bhd (VTRX),https://www.investing.com/equities/vitrox-corporation-bhd-dividends
3034,Hap Seng Consolidated Bhd (HAPS),https://www.investing.com/equities/hap-seng-consolidated-bhd-dividends
3158,YNH Property Bhd (YNHB),https://www.investing.com/equities/ynh-property-bhd-dividends
5161,JCY International Bhd (JCYI),https://www.investing.com/equities/jcy-international-bhd-dividends
5843,Kumpulan Perangsang Selangor (KPSB),https://www.investing.com/equities/kumpulan-perangsang-selangor-dividends
7076,CB Industrial Product Holding (CBIP),https://www.investing.com/equities/cb-industrial-product-holding-dividends
5001,Mieco Chipboard Bhd (MIEC),https://www.investing.com/equities/mieco-chipboard-bhd-dividends
0178,Sedania Innovator Bhd (SEDA),https://www.investing.com/equities/sedania-innovator-bhd-dividends
5249,IOI Properties Group Bhd (IOIP),https://www.investing.com/equities/ioi-properties-group-bhd-dividends
5789,LBS Bina Group Bhd (LBSB),https://www.investing.com/equities/lbs-bina-group-bhd-dividends
5190,Benalec Holdings Bhd (BENL),https://www.investing.com/equities/benalec-holdings-bhd-dividends
7248,SLP Resources Bhd (SLPB),https://www.investing.com/equities/slp-resources-bhd-dividends
1538,Symphony Life Bhd (SYML),https://www.investing.com/equities/symphony-life-bhd-dividends
6874,KUB Malaysia Bhd (KUBM),https://www.investing.com/equities/kub-malaysia-bhd-dividends
5932,Bina Puri Holdings Bhd (BPUR),https://www.investing.com/equities/bina-puri-holdings-bhd-dividends
5665,Southern Steel Bhd (STEE),https://www.investing.com/equities/southern-steel-bhd-dividends
3042,Petron Malaysia Refining Marketing (PTMR),https://www.investing.com/equities/petron-malaysia-refining-marketing-dividends
6181,Malton Bhd (MLTO),https://www.investing.com/equities/malton-bhd-dividends
0024,JAG Bhd (JAGB),https://www.investing.com/equities/jag-bhd-dividends
4243,WTK Holdings Bhd (WTKH),https://www.investing.com/equities/wtk-holdings-bhd-dividends
0032,Redtone International Bhd (RTON),https://www.investing.com/equities/redtone-international-bhd-dividends
2291,Genting Plantations Bhd (GENP),https://www.investing.com/equities/genting-plantations-bhd-dividends
21,GHL Systems Bhd (GHLS),https://www.investing.com/equities/ghl-systems-bhd-dividends
5054,TRC Synergy Bhd (TRCG),https://www.investing.com/equities/trc-synergy-bhd-dividends
5280,KIP Real Estate Investment Trust (KIPR),https://www.investing.com/equities/kip-real-estate-investment-trust-dividends
5273,Chin Hin Group Bhd (CHIU),https://www.investing.com/equities/chin-hin-group-bhd-dividends
0090,Elsoft Research Bhd (ELSR),https://www.investing.com/equities/elsoft-research-bhd-dividends
5197,Focus Lumber Bhd (FOLU),https://www.investing.com/equities/focus-lumber-bhd-dividends
7245,WZ Satu Bhd (WZRB),https://www.investing.com/equities/wz-satu-bhd-dividends
5219,PESTECH International Bhd (PEIN),https://www.investing.com/equities/pestech-international-bhd-dividends
5275,myNEWS Holdings Bhd (MYNE),https://www.investing.com/equities/bison-consolidated-bhd-dividends
5236,Matrix Concepts Holdings Bhd (MATR),https://www.investing.com/equities/matrix-concepts-holdings-bhd-dividends
5073,Naim Holdings Bhd (NCHB),https://www.investing.com/equities/naim-holdings-bhd-dividends
5021,AYS Ventures Bhd (AYSV),https://www.investing.com/equities/ays-ventures-bhd-dividends
5268,Ikhmas Jaya Group Bhd (IKHM),https://www.investing.com/equities/ikhmas-jaya-group-bhd-dividends
3514,Marco Holdings Bhd (MRHB),https://www.investing.com/equities/marco-holdings-bhd-dividends
0059,M Mode Bhd (MMDE),https://www.investing.com/equities/m-mode-bhd-dividends
4383,Jaya Tiasa Holdings Bhd (JTIA),https://www.investing.com/equities/jaya-tiasa-holdings-bhd-dividends
0104,Genetec Technology Bhd (GTCY),https://www.investing.com/equities/genetec-technology-bhd-dividends
0056,Grand-Flo Bhd (GRFL),https://www.investing.com/equities/grand-flo-bhd-dividends
7247,SCGM Bhd (SCGB),https://www.investing.com/equities/scgm-bhd-dividends
5147,Samchem Holdings Bhd (SAHB),https://www.investing.com/equities/samchem-holdings-bhd-dividends
9296,RCE Capital Berhad (REDI),https://www.investing.com/equities/rce-capital-berhad-dividends
7201,Progressive Impact Corporation Bhd (PGSV),https://www.investing.com/equities/progressive-impact-corporation-bhd-dividends
5247,Karex (KARE),https://www.investing.com/equities/karex-dividends
7235,Superlon Holdings Bhd (SPLH),https://www.investing.com/equities/superlon-holdings-bhd-dividends
0012,Three A Resources Bhd (THEA),https://www.investing.com/equities/three-a-resources-bhd-dividends
5077,Malaysian Bulk Carriers Bhd (MBCB),https://www.investing.com/equities/malaysian-bulk-carriers-bhd-dividends
5276,Dancomech Holdings Bhd (DNCO),https://www.investing.com/equities/dancomech-holdings-bhd-dividends
3689,Fraser Neave Holdings Bhd (FRAS),https://www.investing.com/equities/fraser-neave-holdings-bhd-dividends
0050,Systech Bhd (SYST),https://www.investing.com/equities/systech-bhd-dividends
4731,Scientex Bhd (STIK),https://www.investing.com/equities/scientex-bhd-dividends
5260,Only World Group Holdings Bhd (ONLY),https://www.investing.com/equities/only-world-group-holdings-bhd-dividends
1724,Paramount Corporation Bhd (PRMS),https://www.investing.com/equities/paramount-corporation-bhd-dividends
6645,Lingkaran Trans Kota Holdings Bhd (LTKH),https://www.investing.com/equities/lingkaran-trans-kota-holdings-bhd-dividends
1562,Berjaya Sports Toto Bhd (BSTB),https://www.investing.com/equities/berjaya-sports-toto-bhd-dividends
2216,IJM Plantations Bhd (IJMP),https://www.investing.com/equities/ijm-plantations-bhd-dividends
7200,Tek Seng Holdings Bhd (TSHB),https://www.investing.com/equities/tek-seng-holdings-bhd-dividends
1082,Hong Leong Financial Group Bhd (HLCB),https://www.investing.com/equities/hong-leong-financial-group-bhd-dividends
0040,OpenSys M Bhd (OPYS),https://www.investing.com/equities/opensys-m-bhd-dividends
7120,Acoustech Bhd (ACOU),https://www.investing.com/equities/acoustech-bhd-dividends
5071,Coastal Contracts Bhd (CTAL),https://www.investing.com/equities/coastal-contracts-bhd-dividends
7154,Caely Holdings Bhd (CAEY),https://www.investing.com/equities/caely-holdings-bhd-dividends
5248,Bermaz Auto Bhd (BERA),https://www.investing.com/equities/berjaya-auto-bhd-dividends
5109,YTL Hospitality REIT (YTLR),https://www.investing.com/equities/ytl-hospitality-reit-dividends
5020,Glomac Bhd (GLOM),https://www.investing.com/equities/glomac-bhd-dividends
7161,Kerjaya Prospek Group Bhd (KREJ),https://www.investing.com/equities/fututech-bhd-dividends
7073,Seacera Group Bhd (SCER),https://www.investing.com/equities/seacera-group-bhd-dividends
7167,Johore Tin Bhd (JHTN),https://www.investing.com/equities/johore-tin-bhd-dividends
5284,Lotte Chemical Titan Holding BHD (LOTT),https://www.investing.com/equities/lotte-chemical-titan-dividends
5127,AmanahRaya Real Estate Investment Trust (AMRY),https://www.investing.com/equities/amanahraya-real-estate-dividends
2771,Boustead Holdings Bhd (BOUS),https://www.investing.com/equities/boustead-holdings-bhd-dividends
7035,CCK Consolidated Holdings Bhd (CCKH),https://www.investing.com/equities/cck-consolidated-holdings-dividends
0113,MMS Ventures Bhd (MMST),https://www.investing.com/equities/mms-ventures-bhd-dividends
5038,KSL Holdings Bhd (KSLH),https://www.investing.com/equities/ksl-holdings-bhd-dividends
5143,Luxchem Corporation Bhd (LCBH),https://www.investing.com/equities/luxchem-corporation-bhd-dividends
5271,Pecca Group Bhd (PECC),https://www.investing.com/equities/pecca-group-bhd-dividends
1996,Kretam Holdings Bhd (KREK),https://www.investing.com/equities/kretam-holdings-bhd-dividends
1198,MAA Group Bhd (MAAS),https://www.investing.com/equities/maa-group-bhd-dividends
5584,Yee Lee Corporation Bhd (YLEE),https://www.investing.com/equities/yee-lee-corporation-bhd-dividends
6807,Puncak Niaga Holdings Bhd (PNHB),https://www.investing.com/equities/puncak-niaga-holdings-bhd-dividends
5171,Kimlun Corporation Bhd (KICB),https://www.investing.com/equities/kimlun-corporation-bhd-dividends
6114,MKH Bhd (METR),https://www.investing.com/equities/mkh-bhd-dividends
0093,Solution Engineering Holdings Bhd (SLEG),https://www.investing.com/equities/solution-engineering-holdings-bhd-dividends
5191,Tambun Indah Land Bhd (TAMB),https://www.investing.com/equities/tambun-indah-land-bhd-dividends
5090,Media Chinese International Ltd (MDCH),https://www.investing.com/equities/media-chinese-international-ltd-dividends
8397,Tiong Nam Logistics Holdings Bhd (TNTT),https://www.investing.com/equities/tiong-nam-logistics-holdings-bhd-dividends
7207,Success Transformer Corporation Bhd (SCCE),https://www.investing.com/equities/success-transformer-corp-dividends
7168,Prg Holdings Bhd (PRGH),https://www.investing.com/equities/prg-holdings-bhd-dividends
5125,Pantech Group Holdings Bhd (PNTE),https://www.investing.com/equities/pantech-group-holdings-bhd-dividends
7252,Teo Seng Capital Bhd (TSCP),https://www.investing.com/equities/teo-seng-capital-bhd-dividends
3417,Eastern & Oriental Bhd (ENOB),https://www.investing.com/equities/eastern---oriental-bhd-dividends
5133,Petra Energy Bhd (PTRE),https://www.investing.com/equities/petra-energy-bhd-dividends
7229,Favelle Favco Bhd (FVCO),https://www.investing.com/equities/favelle-favco-bhd-dividends
3867,Malaysian Pacific Industries (MPIM),https://www.investing.com/equities/malaysian-pacific-industries-dividends
5355,Daiman Develop Bhd (DAIM),https://www.investing.com/equities/daiman-develop-bhd-dividends
7178,YSP Southeast Asia Holding Bhd (YSPS),https://www.investing.com/equities/ysp-southeast-asia-holding-bhd-dividends
5186,Malaysia Marine and Heavy Engineering Holdings Bhd (MHEB),https://www.investing.com/equities/malaysia-marine-heavy-engineering-dividends
5102,Guan Chong Bhd (GNCH),https://www.investing.com/equities/guan-chong-bhd-dividends
7668,Hai O Enterprise Bhd (HAIO),https://www.investing.com/equities/hai-o-enterprise-bhd-dividends
0112,Mikro MSC Bhd (MIKB),https://www.investing.com/equities/mikro-msc-bhd-dividends
7134,PW Consolidated Bhd (PWFC),https://www.investing.com/equities/pw-consolidated-bhd-dividends
8079,Lee Swee Kiat Group Bhd (LHTM),https://www.investing.com/equities/lee-swee-kiat-group-bhd-dividends
5078,Marine & General Bhd (MARI),https://www.investing.com/equities/silk-holdings-bhd-dividends
9288,Bonia Corporation Bhd (BONI),https://www.investing.com/equities/bonia-corporation-bhd-dividends
7089,Lii Hen Industries Bhd (LHEN),https://www.investing.com/equities/lii-hen-industries-bhd-dividends
7103,Spritzer Bhd (SPTZ),https://www.investing.com/equities/spritzer-bhd-dividends
6238,Hock Seng Lee Bhd (HSLB),https://www.investing.com/equities/hock-seng-lee-bhd-dividends
6203,Khee San Bhd (KHEE),https://www.investing.com/equities/khee-san-bhd-dividends
0195,Binasat Communications Bhd (BINC),https://www.investing.com/equities/binasat-communications-dividends
5007,Chin Well Holdings Bhd (CWHB),https://www.investing.com/equities/chin-well-holdings-bhd-dividends
7190,Pelangi Publishing Group Bhd (PPGB),https://www.investing.com/equities/pelangi-publishing-group-dividends
5184,Cypark Resources Berhad (CYPR),https://www.investing.com/equities/cypark-resources-berhad-dividends
5278,Rhone Ma Holdings Bhd (RHON),https://www.investing.com/equities/rhone-ma-holdings-bhd-dividends
